id,title,title_zh,authors,url,subjects,subject_split
arXiv:2512.02020,EfficientFlow: Efficient Equivariant Flow Policy Learning for Embodied AI,EfficientFlow: Efficient Equivariant Flow Policy Learning for Embodied AI,"Jianlei Chang, Ruofeng Mei, Wei Ke, Xiangyu Xu",https://arxiv.org/pdf/2512.02020,"Subjects:
Robotics (cs.RO); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG)","Robotics (cs.RO),  Artificial Intelligence (cs.AI),  Computer Vision and Pattern Recognition (cs.CV),  Machine Learning (cs.LG)"
arXiv:2512.02019,A Diffusion Model Framework for Maximum Entropy Reinforcement Learning,A Diffusion Model Framework for Maximum Entropy Reinforcement Learning,"Sebastian Sanokowski, Kaustubh Patil, Alois Knoll",https://arxiv.org/pdf/2512.02019,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)","Machine Learning (cs.LG),  Artificial Intelligence (cs.AI),  Machine Learning (stat.ML)"
arXiv:2512.02018,Data-Centric Visual Development for Self-Driving Labs,Data-Centric Visual Development for Self-Driving Labs,"Anbang Liu, Guanzhong Hu, Jiayi Wang, Ping Guo, Han Liu",https://arxiv.org/pdf/2512.02018,"Subjects:
Computer Vision and Pattern Recognition (cs.CV); Robotics (cs.RO)","Computer Vision and Pattern Recognition (cs.CV),  Robotics (cs.RO)"
arXiv:2512.02017,Visual Sync: Multi-Camera Synchronization via Cross-View Object Motion,Visual Sync: Multi-Camera Synchronization via Cross-View Object Motion,"Shaowei Liu, David Yifan Yao, Saurabh Gupta, Shenlong Wang",https://arxiv.org/pdf/2512.02017,"Subjects:
Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Robotics (cs.RO)","Computer Vision and Pattern Recognition (cs.CV),  Artificial Intelligence (cs.AI),  Machine Learning (cs.LG),  Robotics (cs.RO)"
arXiv:2512.02016,Objects in Generated Videos Are Slower Than They Appear: Models Suffer Sub-Earth Gravity and Don't Know Galileo's Principle...for now,Objects in Generated Videos Are Slower Than They Appear: Models Suffer Sub-Earth Gravity and Don't Know Galileo's Principle...for now,"Varun Varma Thozhiyoor, Shivam Tripathi, Venkatesh Babu Radhakrishnan, Anand Bhattad",https://arxiv.org/pdf/2512.02016,"Subjects:
Computer Vision and Pattern Recognition (cs.CV)",Computer Vision and Pattern Recognition (cs.CV)
arXiv:2512.02015,Generative Video Motion Editing with 3D Point Tracks,Generative Video Motion Editing with 3D Point Tracks,"Yao-Chih Lee, Zhoutong Zhang, Jiahui Huang, Jui-Hsien Wang, Joon-Young Lee, Jia-Bin Huang, Eli Shechtman, Zhengqi Li",https://arxiv.org/pdf/2512.02015,"Subjects:
Computer Vision and Pattern Recognition (cs.CV)",Computer Vision and Pattern Recognition (cs.CV)
arXiv:2512.02014,TUNA: Taming Unified Visual Representations for Native Unified Multimodal Models,TUNA: Taming Unified Visual Representations for Native Unified Multimodal Models,"Zhiheng Liu, Weiming Ren, Haozhe Liu, Zijian Zhou, Shoufa Chen, Haonan Qiu, Xiaoke Huang, Zhaochong An, Fanny Yang, Aditya Patel, Viktar Atliha, Tony Ng, Xiao Han, Chuyan Zhu, Chenyang Zhang, Ding Liu, Juan-Manuel Perez-Rua, Sen He, Jürgen Schmidhuber, Wenhu Chen, Ping Luo, Wei Liu, Tao Xiang, Jonas Schult, Yuren Cong",https://arxiv.org/pdf/2512.02014,"Subjects:
Computer Vision and Pattern Recognition (cs.CV)",Computer Vision and Pattern Recognition (cs.CV)
arXiv:2512.02013,ManualVLA: A Unified VLA Model for Chain-of-Thought Manual Generation and Robotic Manipulation,ManualVLA: A Unified VLA Model for Chain-of-Thought Manual Generation and Robotic Manipulation,"Chenyang Gu, Jiaming Liu, Hao Chen, Runzhong Huang, Qingpo Wuwu, Zhuoyang Liu, Xiaoqi Li, Ying Li, Renrui Zhang, Peng Jia, Pheng-Ann Heng, Shanghang Zhang",https://arxiv.org/pdf/2512.02013,"Subjects:
Robotics (cs.RO)",Robotics (cs.RO)
arXiv:2512.02012,Improved Mean Flows: On the Challenges of Fastforward Generative Models,Improved Mean Flows: On the Challenges of Fastforward Generative Models,"Zhengyang Geng, Yiyang Lu, Zongze Wu, Eli Shechtman, J. Zico Kolter, Kaiming He",https://arxiv.org/pdf/2512.02012,"Subjects:
Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG)","Computer Vision and Pattern Recognition (cs.CV),  Machine Learning (cs.LG)"
arXiv:2512.02011,Learning Dexterous Manipulation Skills from Imperfect Simulations,Learning Dexterous Manipulation Skills from Imperfect Simulations,"Elvis Hsieh, Wen-Han Hsieh, Yen-Jen Wang, Toru Lin, Jitendra Malik, Koushil Sreenath, Haozhi Qi",https://arxiv.org/pdf/2512.02011,"Subjects:
Robotics (cs.RO)",Robotics (cs.RO)
arXiv:2512.02010,Four Over Six: More Accurate NVFP4 Quantization with Adaptive Block Scaling,Four Over Six: More Accurate NVFP4 Quantization with Adaptive Block Scaling,"Jack Cook, Junxian Guo, Guangxuan Xiao, Yujun Lin, Song Han",https://arxiv.org/pdf/2512.02010,"Subjects:
Computation and Language (cs.CL); Machine Learning (cs.LG)","Computation and Language (cs.CL),  Machine Learning (cs.LG)"
arXiv:2512.02009,AirSim360: A Panoramic Simulation Platform within Drone View,AirSim360: A Panoramic Simulation Platform within Drone View,"Xian Ge, Yuling Pan, Yuhang Zhang, Xiang Li, Weijun Zhang, Dizhe Zhang, Zhaoliang Wan, Xin Lin, Xiangkai Zhang, Juntao Liang, Jason Li, Wenjie Jiang, Bo Du, Ming-Hsuan Yang, Lu Qi",https://arxiv.org/pdf/2512.02009,"Subjects:
Computer Vision and Pattern Recognition (cs.CV)",Computer Vision and Pattern Recognition (cs.CV)
arXiv:2512.02008,The Art of Scaling Test-Time Compute for Large Language Models,The Art of Scaling Test-Time Compute for Large Language Models,"Aradhye Agarwal, Ayan Sengupta, Tanmoy Chakraborty",https://arxiv.org/pdf/2512.02008,"Subjects:
Computation and Language (cs.CL)",Computation and Language (cs.CL)
arXiv:2512.02006,MV-TAP: Tracking Any Point in Multi-View Videos,MV-TAP: Tracking Any Point in Multi-View Videos,"Jahyeok Koo, Inès Hyeonsu Kim, Mungyeom Kim, Junghyun Park, Seohyun Park, Jaeyeong Kim, Jung Yi, Seokju Cho, Seungryong Kim",https://arxiv.org/pdf/2512.02006,"Subjects:
Computer Vision and Pattern Recognition (cs.CV)",Computer Vision and Pattern Recognition (cs.CV)
arXiv:2512.02005,Learning Visual Affordance from Audio,Learning Visual Affordance from Audio,"Lidong Lu, Guo Chen, Zhu Wei, Yicheng Liu, Tong Lu",https://arxiv.org/pdf/2512.02005,"Subjects:
Computer Vision and Pattern Recognition (cs.CV)",Computer Vision and Pattern Recognition (cs.CV)
arXiv:2512.02004,AlignSAE: Concept-Aligned Sparse Autoencoders,AlignSAE: Concept-Aligned Sparse Autoencoders,"Minglai Yang, Xinyu Guo, Mihai Surdeanu, Liangming Pan",https://arxiv.org/pdf/2512.02004,"Subjects:
Machine Learning (cs.LG); Computation and Language (cs.CL)","Machine Learning (cs.LG),  Computation and Language (cs.CL)"
